,id_fila,x_fila,y_fila,z_fila
0,0.0,579.5,410.0,-6.5
1,0.0,580.462,407.892,-5.47091
2,0.0,581.433,405.922,-4.43919
3,0.0,582.471,404.16,-3.51958
4,0.0,583.671,402.618,-2.97349
5,0.0,585.109,401.337,-3.11364
6,0.0,586.763,400.454,-4.12532
7,0.0,588.482,400.186,-5.91193
8,0.0,590.028,400.728,-8.07971
9,0.0,591.158,402.138,-10.0967
10,0.0,591.708,404.276,-11.5348
11,0.0,591.631,406.83,-12.2384
12,0.0,590.998,409.42,-12.3255
13,0.0,589.967,411.729,-12.0576
14,0.0,588.726,413.591,-11.6874
15,0.0,587.438,415.006,-11.37
16,0.0,586.194,416.089,-11.1513
17,0.0,585.0,417.0,-11.0
18,1.0,579.5,410.0,-6.5
19,1.0,580.83,411.899,-7.66795
20,1.0,582.188,413.711,-8.81194
21,1.0,583.582,415.401,-9.91965
22,1.0,585.0,417.0,-11.0
23,2.0,547.5,434.0,34.0
24,2.0,555.067,435.069,33.2396
25,2.0,562.026,436.148,32.2047
26,2.0,567.973,437.264,30.6835
27,2.0,572.764,438.438,28.5845
28,2.0,576.423,439.637,25.9593
29,2.0,579.05,440.768,22.9661
30,2.0,580.792,441.735,19.7933
31,2.0,581.826,442.489,16.5996
32,2.0,582.318,443.058,13.5036
33,2.0,582.362,443.543,10.5989
34,2.0,581.964,444.086,7.95348
35,2.0,581.106,444.797,5.58368
36,2.0,579.831,445.679,3.43944
37,2.0,578.283,446.594,1.43287
38,2.0,576.666,447.322,-0.496925
39,2.0,575.165,447.674,-2.32605
40,2.0,573.893,447.569,-3.93666
41,2.0,572.901,447.032,-5.16833
42,2.0,572.211,446.146,-5.90325
43,2.0,571.822,445.012,-6.1323
44,2.0,571.706,443.727,-5.95738
45,2.0,571.798,442.373,-5.53299
46,2.0,572.0,441.0,-5.0
47,3.0,547.5,434.0,34.0
48,3.0,538.366,433.901,32.9437
49,3.0,529.867,433.901,31.9437
50,3.0,522.0,434.0,31.0
51,4.0,437.5,392.0,-13.0
52,4.0,437.438,392.419,-13.1624
53,4.0,437.506,392.606,-13.0466
54,4.0,437.844,392.466,-12.5036
55,4.0,438.568,392.078,-11.5893
56,4.0,439.703,391.627,-10.5399
57,4.0,441.156,391.301,-9.63883
58,4.0,442.763,391.224,-9.04393
59,4.0,444.37,391.447,-8.6952
60,4.0,445.888,391.969,-8.3788
61,4.0,447.292,392.747,-7.90589
62,4.0,448.601,393.718,-7.27007
63,4.0,449.872,394.827,-6.66706
64,4.0,451.203,396.041,-6.3709
65,4.0,452.711,397.34,-6.56523
66,4.0,454.493,398.679,-7.24642
67,4.0,456.58,399.981,-8.25033
68,4.0,458.918,401.166,-9.36308
69,4.0,461.389,402.163,-10.4286
70,4.0,463.853,402.901,-11.3924
71,4.0,466.203,403.281,-12.2855
72,4.0,468.389,403.189,-13.1842
73,4.0,470.416,402.55,-14.1682
74,4.0,472.326,401.378,-15.2778
75,4.0,474.171,399.776,-16.4759
76,4.0,476.013,397.897,-17.642
77,4.0,477.895,395.894,-18.609
78,4.0,479.827,393.899,-19.2275
79,4.0,481.762,392.043,-19.4124
80,4.0,483.603,390.459,-19.1442
81,4.0,485.223,389.251,-18.4382
82,4.0,486.487,388.423,-17.3308
83,4.0,487.293,387.857,-15.9091
84,4.0,487.595,387.375,-14.3435
85,4.0,487.435,386.869,-12.8593
86,4.0,486.933,386.374,-11.6396
87,4.0,486.261,386.046,-10.7327
88,4.0,485.606,386.052,-10.0406
89,4.0,485.127,386.447,-9.39266
90,4.0,484.931,387.135,-8.6402
91,4.0,485.049,387.915,-7.71528
92,4.0,485.43,388.59,-6.64231
93,4.0,485.973,389.064,-5.52248
94,4.0,486.579,389.372,-4.50041
95,4.0,487.19,389.636,-3.7128
96,4.0,487.792,389.976,-3.23196
97,4.0,488.393,390.442,-3.03276
98,4.0,489.0,391.0,-3.0
99,5.0,437.5,392.0,-13.0
100,5.0,438.602,391.594,-11.6135
101,5.0,439.844,391.269,-10.404
102,5.0,441.274,391.095,-9.51146
103,5.0,442.828,391.129,-8.97154
104,5.0,444.397,391.413,-8.6655
105,5.0,445.896,391.959,-8.36973
106,5.0,447.294,392.745,-7.90386
107,5.0,448.601,393.718,-7.26976
108,5.0,449.872,394.827,-6.66703
109,5.0,451.203,396.041,-6.3709
110,5.0,452.711,397.34,-6.56523
111,5.0,454.493,398.679,-7.24642
112,5.0,456.58,399.981,-8.25033
113,5.0,458.918,401.166,-9.36308
114,5.0,461.389,402.163,-10.4286
115,5.0,463.853,402.901,-11.3924
116,5.0,466.203,403.281,-12.2855
117,5.0,468.389,403.189,-13.1842
118,5.0,470.416,402.55,-14.1682
119,5.0,472.326,401.378,-15.2778
120,5.0,474.171,399.776,-16.4759
121,5.0,476.013,397.897,-17.642
122,5.0,477.895,395.894,-18.609
123,5.0,479.827,393.899,-19.2275
124,5.0,481.762,392.043,-19.4124
125,5.0,483.603,390.459,-19.1442
126,5.0,485.223,389.251,-18.4382
127,5.0,486.487,388.423,-17.3308
128,5.0,487.293,387.857,-15.9091
129,5.0,487.595,387.375,-14.3435
130,5.0,487.435,386.869,-12.8593
131,5.0,486.933,386.374,-11.6396
132,5.0,486.261,386.046,-10.7327
133,5.0,485.606,386.052,-10.0406
134,5.0,485.127,386.447,-9.39266
135,5.0,484.931,387.135,-8.6402
136,5.0,485.049,387.915,-7.71528
137,5.0,485.43,388.59,-6.64231
138,5.0,485.973,389.064,-5.52248
139,5.0,486.579,389.372,-4.50041
140,5.0,487.19,389.636,-3.7128
141,5.0,487.792,389.976,-3.23196
142,5.0,488.393,390.442,-3.03276
143,5.0,489.0,391.0,-3.0
144,6.0,194.0,137.0,-4.0
145,6.0,196.891,138.585,-3.64246
146,6.0,199.268,140.141,-3.10761
147,6.0,200.856,141.649,-2.27534
148,6.0,201.703,143.099,-1.11499
149,6.0,202.084,144.459,0.31185
150,6.0,202.307,145.647,1.86777
151,6.0,202.57,146.511,3.37164
152,6.0,202.924,146.843,4.64977
153,6.0,203.339,146.452,5.59496
154,6.0,203.793,145.266,6.19963
155,6.0,204.334,143.394,6.53773
156,6.0,205.071,141.108,6.71125
157,6.0,206.111,138.741,6.8044
158,6.0,207.495,136.563,6.8694
159,6.0,209.167,134.677,6.93227
160,6.0,211.0,133.0,7.0
161,7.0,194.0,137.0,-4.0
162,7.0,190.975,139.121,-2.71648
163,7.0,188.536,141.262,-1.73144
164,7.0,187.071,143.353,-1.24464
165,7.0,186.673,145.198,-1.30226
166,7.0,187.199,146.533,-1.80955
167,7.0,188.414,147.143,-2.59262
168,7.0,190.116,146.974,-3.45914
169,7.0,192.163,146.183,-4.22678
170,7.0,194.41,145.078,-4.73418
171,7.0,196.66,144.003,-4.86109
172,7.0,198.675,143.238,-4.55279
173,7.0,200.244,142.946,-3.82328
174,7.0,201.271,143.163,-2.73202
175,7.0,201.826,143.818,-1.35833
176,7.0,202.097,144.754,0.202533
177,7.0,202.297,145.75,1.82639
178,7.0,202.563,146.541,3.35857
179,7.0,202.922,146.85,4.64639
180,7.0,203.338,146.453,5.59428
181,7.0,203.792,145.266,6.19953
182,7.0,204.334,143.394,6.53772
183,7.0,205.071,141.108,6.71125
184,7.0,206.111,138.741,6.8044
185,7.0,207.495,136.563,6.8694
186,7.0,209.167,134.677,6.93227
187,7.0,211.0,133.0,7.0
188,8.0,571.5,387.5,11.5
189,8.0,575.026,388.838,9.26905
190,8.0,578.226,390.361,7.14271
191,8.0,580.875,392.122,5.17699
192,8.0,582.926,393.987,3.34327
193,8.0,584.528,395.709,1.5195
194,8.0,585.934,397.09,-0.469831
195,8.0,587.351,398.138,-2.75442
196,8.0,588.814,399.088,-5.29764
197,8.0,590.179,400.285,-7.84671
198,8.0,591.213,401.99,-10.0237
199,8.0,591.724,404.236,-11.5165
200,8.0,591.635,406.822,-12.2348
201,8.0,590.999,409.419,-12.325
202,8.0,589.967,411.729,-12.0576
203,8.0,588.726,413.591,-11.6874
204,8.0,587.438,415.006,-11.37
205,8.0,586.194,416.089,-11.1513
206,8.0,585.0,417.0,-11.0
207,9.0,571.5,387.5,11.5
208,9.0,568.986,386.737,14.3902
209,9.0,566.686,385.989,17.1028
210,9.0,564.639,385.327,19.5432
211,9.0,562.687,384.847,21.7041
212,9.0,560.61,384.561,23.6061
213,9.0,558.289,384.327,25.2532
214,9.0,555.768,383.895,26.6424
215,9.0,553.205,383.083,27.794
216,9.0,550.778,381.904,28.7553
217,9.0,548.61,380.552,29.5801
218,9.0,546.717,379.231,30.3138
219,9.0,545.0,378.0,31.0
220,10.0,429.5,393.5,28.0
221,10.0,438.228,399.464,28.7217
222,10.0,446.165,404.905,29.3937
223,10.0,452.895,409.454,29.9482
224,10.0,458.476,412.91,30.304
225,10.0,463.26,415.167,30.3957
226,10.0,467.613,416.185,30.208
227,10.0,471.744,416.046,29.7936
228,10.0,475.669,415.011,29.2703
229,10.0,479.282,413.487,28.8021
230,10.0,482.467,411.918,28.561
231,10.0,485.192,410.633,28.6623
232,10.0,487.539,409.714,29.0996
233,10.0,489.667,408.962,29.7354
234,10.0,491.724,408.032,30.3709
235,10.0,493.787,406.661,30.8483
236,10.0,495.845,404.822,31.1009
237,10.0,497.834,402.701,31.1189
238,10.0,499.691,400.538,30.8826
239,10.0,501.397,398.476,30.337
240,10.0,502.97,396.544,29.4332
241,10.0,504.437,394.71,28.1951
242,10.0,505.815,392.946,26.7505
243,10.0,507.083,391.244,25.3029
244,10.0,508.165,389.594,24.064
245,10.0,508.917,387.97,23.1801
246,10.0,509.174,386.334,22.6831
247,10.0,508.827,384.664,22.4876
248,10.0,507.882,382.996,22.4396
249,10.0,506.464,381.436,22.3887
250,10.0,504.768,380.114,22.2307
251,10.0,503.014,379.092,21.8993
252,10.0,501.425,378.301,21.342
253,10.0,500.192,377.578,20.5306
254,10.0,499.402,376.788,19.4987
255,10.0,498.984,375.944,18.3504
256,10.0,498.741,375.219,17.2139
257,10.0,498.465,374.847,16.1822
258,10.0,498.064,374.995,15.2942
259,10.0,497.584,375.684,14.5578
260,10.0,497.161,376.796,13.9749
261,10.0,496.917,378.145,13.5419
262,10.0,496.888,379.571,13.2345
263,10.0,497.0,381.0,13.0
264,11.0,429.5,393.5,28.0
265,11.0,425.196,384.595,27.0925
266,11.0,421.725,376.407,26.3804
267,11.0,419.462,369.418,25.9566
268,11.0,418.242,363.785,25.7742
269,11.0,417.655,359.402,25.692
270,11.0,417.353,356.02,25.5661
271,11.0,417.158,353.332,25.327
272,11.0,417.0,351.0,25.0
273,12.0,456.0,351.5,-15.0
274,12.0,459.775,352.475,-15.9408
275,12.0,463.315,353.159,-16.6211
276,12.0,466.462,353.247,-16.9251
277,12.0,469.146,352.479,-16.9173
278,12.0,471.334,350.752,-16.7567
279,12.0,472.981,348.232,-16.5706
280,12.0,474.034,345.347,-16.3889
281,12.0,474.473,342.633,-16.1687
282,12.0,474.348,340.493,-15.8618
283,12.0,473.79,339.027,-15.4603
284,12.0,473.0,338.0,-15.0
285,13.0,456.0,351.5,-15.0
286,13.0,453.635,351.893,-12.5491
287,13.0,451.633,352.276,-10.2159
288,13.0,450.139,352.643,-8.04914
289,13.0,449.0,353.0,-6.0
290,14.0,554.0,486.0,-23.0
291,14.0,553.268,488.985,-22.2157
292,14.0,552.465,491.613,-21.3743
293,14.0,551.526,493.647,-20.4565
294,14.0,550.389,495.002,-19.5007
295,14.0,549.008,495.7,-18.5979
296,14.0,547.354,495.816,-17.8683
297,14.0,545.435,495.459,-17.4288
298,14.0,543.3,494.751,-17.3561
299,14.0,541.042,493.772,-17.6508
300,14.0,538.778,492.525,-18.214
301,14.0,536.629,490.962,-18.8518
302,14.0,534.705,489.064,-19.3179
303,14.0,533.09,486.906,-19.3833
304,14.0,531.826,484.659,-18.9056
305,14.0,530.918,482.552,-17.8624
306,14.0,530.352,480.807,-16.3317
307,14.0,530.115,479.596,-14.4421
308,14.0,530.191,479.0,-12.3405
309,14.0,530.538,478.988,-10.1962
310,14.0,531.089,479.44,-8.20588
311,14.0,531.763,480.189,-6.55588
312,14.0,532.495,481.087,-5.34947
313,14.0,533.246,482.038,-4.55294
314,14.0,534.0,483.0,-4.0
315,15.0,554.0,486.0,-23.0
316,15.0,555.5,482.998,-21.9995
317,15.0,557.0,480.0,-21.0
318,16.0,295.0,255.0,16.5
319,16.0,296.548,254.462,16.255
320,16.0,298.179,254.017,15.9285
321,16.0,299.898,253.729,15.4789
322,16.0,301.621,253.619,14.9182
323,16.0,303.233,253.66,14.2919
324,16.0,304.678,253.805,13.6455
325,16.0,306.0,254.0,13.0
326,17.0,295.0,255.0,16.5
327,17.0,295.795,254.58,16.4129
328,17.0,296.827,254.19,16.2449
